tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4,sites2017,unicast2017,combined2017,|,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4,sites21,unicast21,combined21,classification17,classification21
sfr.,4,4,4,1,10,5,2,5,2,7,|,4,4,4,4,65,65,0,65,0,65,Mixed,Anycast
money.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
deal.,6,6,6,6,65,65,0,65,0,65,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
republican.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
dot.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,51,51,0,51,0,51,Anycast,Anycast
voting.,3,3,3,2,10,10,1,10,1,11,|,4,4,4,4,73,73,0,73,0,73,Mixed,Anycast
cooking.,8,8,8,8,50,50,0,50,0,50,|,8,8,8,8,96,96,0,96,0,96,Anycast,Anycast
onyourside.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
.,13,13,13,11,255,255,2,255,2,257,|,13,13,13,12,344,344,1,344,1,345,Mixed,Mixed
dell.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
sncf.,3,3,3,2,62,62,1,62,1,63,|,3,3,3,3,68,68,0,68,0,68,Mixed,Anycast
fido.,4,4,4,4,33,33,0,33,0,33,|,4,4,4,4,51,51,0,51,0,51,Anycast,Anycast
poker.,4,4,4,4,33,33,0,33,0,33,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
kinder.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
mint.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
church.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
bing.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
passagens.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
xn--mgba3a3ejt.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
comsec.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
faith.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
yamaxun.,6,6,6,6,65,65,0,65,0,65,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
pub.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
futbol.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
bestbuy.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,51,51,0,51,0,51,Anycast,Anycast
xn--p1ai.,5,5,5,0,0,0,5,0,5,5,|,5,5,5,0,0,0,5,0,5,5,Unicast,Unicast
guge.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
