ip4_prefix,number
177.104.50.0,2
68.232.43.0,10
84.21.48.0,3
65.22.93.0,4
185.84.241.0,3
104.28.147.0,40
104.24.216.0,40
65.22.133.0,4
104.17.6.0,43
35.186.223.0,29
104.16.35.0,43
35.186.249.0,30
203.119.3.0,3
104.31.168.0,40
65.22.49.0,3
104.28.74.0,43
104.28.39.0,42
104.104.58.0,15
104.31.215.0,38
167.89.13.0,3
72.246.46.0,7
210.103.240.0,6
192.42.178.0,5
104.16.232.0,43
35.190.59.0,25
104.27.21.0,40
185.37.37.0,5
104.20.1.0,42
104.25.76.0,43
104.24.209.0,42
104.24.225.0,42
104.27.70.0,45
104.24.60.0,43
104.31.177.0,40
173.244.54.0,3
13.107.16.0,6
198.51.44.0,14
104.17.193.0,44
156.154.142.0,13
104.28.108.0,40
35.186.225.0,27
204.13.250.0,13
192.229.169.0,8
107.162.142.0,6
23.216.52.0,17
104.20.226.0,45
204.70.25.0,5
35.190.85.0,27
104.20.67.0,43
151.101.253.0,13
68.142.254.0,8
104.31.228.0,40
104.17.129.0,43
104.20.103.0,43
92.38.38.0,4
205.251.200.0,3
104.27.136.0,39
104.31.184.0,40
104.17.82.0,44
35.186.251.0,27
104.16.160.0,45
104.24.116.0,40
104.24.59.0,40
151.101.131.0,20
193.34.134.0,6
104.20.61.0,43
104.19.201.0,43
107.154.166.0,3
204.194.234.0,4
130.211.14.0,29
172.64.96.0,42
104.20.192.0,43
213.174.134.0,8
104.27.114.0,39
104.27.11.0,44
104.24.71.0,42
104.17.201.0,44
168.245.17.0,3
104.31.65.0,40
66.242.1.0,4
151.101.238.0,12
192.229.239.0,8
193.108.91.0,22
104.25.17.0,40
89.31.141.0,2
199.182.1.0,4
35.190.9.0,28
192.12.94.0,4
156.154.154.0,6
104.19.26.0,43
146.88.142.0,8
72.42.120.0,24
104.27.87.0,45
172.64.63.0,37
150.164.27.0,2
104.27.130.0,40
167.89.80.0,3
104.17.167.0,43
104.17.179.0,44
104.17.21.0,43
104.31.167.0,38
192.42.93.0,4
65.22.29.0,4
104.24.44.0,43
104.25.31.0,40
104.17.63.0,43
65.22.103.0,20
104.23.195.0,46
65.22.47.0,20
199.66.205.0,5
107.154.170.0,4
104.27.243.0,33
173.194.228.0,10
104.16.130.0,44
13.107.57.0,14
185.115.0.0,5
104.24.145.0,40
104.20.166.0,45
104.17.165.0,43
104.28.185.0,40
104.29.20.0,38
107.154.109.0,3
104.16.127.0,43
104.17.112.0,43
104.20.128.0,44
35.190.41.0,27
104.24.39.0,43
104.20.5.0,45
65.22.171.0,22
104.133.11.0,2
35.186.215.0,30
104.16.53.0,42
104.16.201.0,44
172.64.109.0,42
35.190.52.0,30
104.17.58.0,42
35.190.78.0,27
35.186.199.0,28
108.179.174.0,3
210.2.4.0,3
200.16.27.0,2
104.20.21.0,46
104.17.84.0,44
156.154.102.0,10
185.28.45.0,4
198.232.126.0,9
104.17.224.0,44
192.33.29.0,12
104.28.240.0,40
104.20.216.0,46
104.28.47.0,43
104.27.163.0,40
194.0.27.0,36
162.159.233.0,45
46.105.206.0,3
104.16.215.0,45
