tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4
limited.,4,4,4,4,34,34,0
goodyear.,4,4,4,4,37,37,0
farmers.,6,6,6,6,65,65,0
pink.,4,4,4,4,36,36,0
audible.,6,6,6,6,65,65,0
mq.,3,3,3,0,0,0,3
xn--45brj9c.,8,8,8,6,46,46,2
events.,4,4,4,4,34,34,0
xn--5tzm5g.,4,4,4,4,32,32,0
pars.,4,4,4,4,61,61,0
caseih.,4,4,4,4,37,37,0
cityeats.,4,4,4,4,22,22,0
ovh.,3,3,3,2,62,62,1
buy.,6,6,6,6,65,65,0
cisco.,6,6,6,6,65,65,0
xn--imr513n.,9,9,9,2,9,6,6
xn--ngbe9e0a.,4,4,4,4,29,29,0
whoswho.,6,6,6,6,65,65,0
ott.,4,4,4,4,34,34,0
graphics.,4,4,4,4,34,34,0
xn--eckvdtc9d.,6,6,6,6,69,69,0
pa.,7,7,7,1,4,4,6
ps.,6,6,6,1,35,35,5
am.,6,6,6,3,61,61,3
mo.,7,7,7,1,22,22,6
hdfcbank.,4,4,4,4,34,34,0
xn--3pxu8k.,4,4,4,4,22,22,0
style.,4,4,4,4,34,34,0
azure.,4,4,4,4,22,22,0
sling.,4,4,4,4,33,33,0
monash.,4,4,4,4,34,34,0
football.,4,4,4,4,34,34,0
dnp.,4,4,4,4,34,34,0
kddi.,4,4,4,4,34,34,0
directory.,4,4,4,4,34,34,0
guide.,4,4,4,4,34,34,0
tax.,4,4,4,4,34,34,0
photo.,4,4,4,4,23,23,0
xn--vhquv.,4,4,4,4,34,34,0
ngo.,6,6,6,6,47,47,0
xn--wgbl6a.,7,7,7,3,54,54,4
gd.,4,4,4,3,49,49,1
boats.,4,4,4,4,33,33,0
lefrak.,4,4,4,4,22,22,0
career.,4,4,4,4,22,22,0
sener.,4,4,4,4,22,22,0
shangrila.,4,4,4,4,22,22,0
irish.,4,4,4,4,34,34,0
td.,3,3,3,0,0,0,3
credit.,4,4,4,4,34,34,0
fidelity.,4,4,4,4,22,22,0
xn--ngbc5azd.,4,4,4,4,34,34,0
gifts.,4,4,4,4,34,34,0
vista.,4,4,4,4,34,34,0
london.,8,8,8,8,50,50,0
