tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4
kr.,6,6,6,0,0,0,6
unicom.,8,8,8,4,19,15,3
abogado.,8,8,8,8,96,96,0
mlb.,6,6,6,6,74,74,0
now.,8,8,8,8,94,94,0
tui.,4,4,4,4,65,65,0
dvr.,4,4,4,4,51,51,0
kerryproperties.,4,4,4,4,31,31,0
es.,7,7,7,3,48,48,4
cbre.,6,6,6,6,74,74,0
tm.,7,7,7,4,71,71,3
xn--ogbpf8fl.,3,3,3,2,40,40,1
ryukyu.,4,4,4,4,73,73,0
fund.,4,4,4,4,73,73,0
insure.,4,4,4,4,73,73,0
xn--czrs0t.,4,4,4,4,73,73,0
engineering.,4,4,4,4,73,73,0
xn--8y0a063a.,8,8,8,4,19,15,3
associates.,4,4,4,4,73,73,0
airtel.,4,4,4,4,31,31,0
place.,4,4,4,4,73,73,0
dental.,4,4,4,4,73,73,0
smart.,4,4,4,4,65,65,0
flickr.,6,6,6,6,74,74,0
xn--mgbah1a3hjkrd.,5,5,5,3,47,47,2
xn--11b4c3d.,4,4,4,4,31,31,0
storage.,4,4,4,4,65,65,0
rocher.,6,6,6,6,74,74,0
app.,5,5,5,4,27,27,1
aol.,4,4,4,4,31,31,0
spot.,8,8,8,8,94,94,0
xn--kcrx77d1x4a.,4,4,4,4,73,73,0
nyc.,6,6,6,6,74,74,0
ceo.,4,4,4,4,65,65,0
edeka.,4,4,4,4,50,50,0
dunlop.,4,4,4,4,53,53,0
garden.,8,8,8,8,96,96,0
xn--90a3ac.,6,6,6,2,61,61,4
nowruz.,4,4,4,4,122,122,0
helsinki.,4,4,4,4,52,52,0
hn.,3,3,3,2,43,43,1
vacations.,4,4,4,4,73,73,0
blog.,4,4,4,4,65,65,0
williamhill.,6,6,6,6,74,74,0
sas.,6,6,6,6,99,99,0
thd.,4,4,4,4,55,55,0
ftr.,6,6,6,6,74,74,0
in.,6,6,6,6,113,113,0
global.,4,4,4,4,52,52,0
my.,6,6,6,4,65,65,2
soccer.,4,4,4,4,73,73,0
click.,4,4,4,4,27,27,0
omega.,4,4,4,4,31,31,0
coffee.,4,4,4,4,73,73,0
compare.,4,4,4,4,73,73,0
jeep.,4,4,4,4,51,51,0
xerox.,4,4,4,4,31,31,0
boo.,5,5,5,4,27,27,1
axa.,6,6,6,6,74,74,0
news.,4,4,4,4,73,73,0
